622	2
1923	0
951	0
1957	1
1989	1
735	2
1353	1
866	0
1426	1
105	2
310	1
419	2
2481	2
504	1
1967	1
982	0
976	0
1132	0
2110	1
176	2
2877	1
581	2
1403	0
521	2
2682	1
991	0
2970	2
529	2
667	1
2059	1
555	2
265	2
867	0
1207	0
371	2
2280	1
664	1
877	0
1396	0
4	2
2233	1
148	1
2951	2
2103	1
563	2
1897	0
2696	2
1214	0
224	2
1619	0
691	2
1332	1
2221	1
2739	2
1524	1
2728	2
2374	0
1093	0
1116	0
1071	0
1542	0
2368	0
2848	1
2313	1
593	2
2146	1
959	0
934	0
250	2
2573	2
25	2
2195	1
1847	0
2575	2
1726	0
111	2
2001	1
586	2
482	1
2188	1
2068	1
301	1
617	2
2279	1
1156	0
1172	1
948	0
2133	1
21	2
456	1
2272	1
676	1
1561	0
2974	2
536	2
2520	2
528	2
2158	1
1391	0
1855	0
699	2
2820	2
1772	0
2439	1
1703	0
1275	1
389	2
2905	1
2604	2
2435	1
242	2
19	2
337	2
2509	2
1990	1
2892	1
2718	2
1259	0
1087	0
2688	2
1386	0
2957	2
240	2
1405	1
884	0
2628	2
6	2
1389	0
1821	0
1423	1
921	0
2985	2
331	2
2676	1
2479	2
999	0
413	2
388	2
1023	0
1589	0
2386	0
2880	1
2252	1
881	0
2579	2
2810	2
2102	1
1802	0
2329	1
2036	1
1174	1
1700	0
1873	0
1588	0
2229	1
391	2
886	0
36	2
939	0
1608	0
546	2
757	2
2998	2
776	2
113	2
882	0
2149	1
1363	1
1044	0
2815	2
1325	1
836	0
1804	0
1110	0
1329	1
2654	2
2839	2
2531	2
2043	1
206	2
823	0
2515	2
481	1
73	2
2777	1
1749	0
1640	0
200	2
1946	1
1576	0
1659	0
2156	1
1050	0
1616	0
1462	0
209	2
2844	2
1611	0
541	2
75	2
284	2
2824	2
835	0
2483	2
2168	1
1367	0
1636	0
2689	2
2987	2
2505	2
2977	2
810	0
1394	0
1484	0
870	0
1336	1
1880	0
909	0
1572	0
1466	0
1435	1
1279	1
2975	2
588	2
701	2
2692	2
2950	2
1974	1
2213	1
2878	1
2535	2
796	2
61	2
2909	1
865	0
2616	2
2733	2
1349	1
1753	0
1316	1
562	2
1253	0
226	2
804	0
1255	0
1924	0
1424	1
1720	0
2084	1
80	2
1699	0
2205	1
614	2
1240	1
768	2
1415	1
471	1
355	2
317	1
1483	0
652	1
228	2
2544	2
965	0
174	1
2903	1
2679	1
473	1
1762	0
191	2
1217	1
254	2
246	2
1838	0
1593	0
2992	2
1478	0
725	2
2470	2
2080	1
181	2
626	2
2183	1
485	1
754	2
1331	1
2782	1
2243	1
